01/10/17 00:00;02/10/17 00:00;03/10/17 00:00;04/10/17 00:00;05/10/17 00:00;06/10/17 00:00;07/10/17 00:00;08/10/17 00:00;09/10/17 00:00;10/10/17 00:00;11/10/17 00:00;12/10/17 00:00;13/10/17 00:00;14/10/17 00:00;15/10/17 00:00;16/10/17 00:00;17/10/17 00:00;18/10/17 00:00;19/10/17 00:00;20/10/17 00:00;21/10/17 00:00;22/10/17 00:00;23/10/17 00:00;24/10/17 00:00;25/10/17 00:00;26/10/17 00:00;27/10/17 00:00;28/10/17 00:00;29/10/17 00:00;30/10/17 00:00;31/10/17 00:00;01/11/17 00:00;02/11/17 00:00;03/11/17 00:00;04/11/17 00:00;05/11/17 00:00;06/11/17 00:00;07/11/17 00:00;08/11/17 00:00;09/11/17 00:00;10/11/17 00:00;11/11/17 00:00;12/11/17 00:00;13/11/17 00:00;14/11/17 00:00;15/11/17 00:00;16/11/17 00:00;17/11/17 00:00;18/11/17 00:00;19/11/17 00:00;20/11/17 00:00;21/11/17 00:00;22/11/17 00:00;23/11/17 00:00;24/11/17 00:00;25/11/17 00:00;26/11/17 00:00;27/11/17 00:00;28/11/17 00:00;29/11/17 00:00;30/11/17 00:00;01/10/18 00:00;02/10/18 00:00;03/10/18 00:00;04/10/18 00:00;05/10/18 00:00;06/10/18 00:00;07/10/18 00:00;08/10/18 00:00;09/10/18 00:00;10/10/18 00:00;11/10/18 00:00;12/10/18 00:00;13/10/18 00:00;14/10/18 00:00;15/10/18 00:00;16/10/18 00:00;17/10/18 00:00;18/10/18 00:00;19/10/18 00:00;20/10/18 00:00;21/10/18 00:00;22/10/18 00:00;23/10/18 00:00;24/10/18 00:00;25/10/18 00:00;26/10/18 00:00;27/10/18 00:00;28/10/18 00:00;29/10/18 00:00;30/10/18 00:00;31/10/18 00:00;01/11/18 00:00;02/11/18 00:00;03/11/18 00:00;04/11/18 00:00;05/11/18 00:00;06/11/18 00:00;07/11/18 00:00;08/11/18 00:00;09/11/18 00:00;10/11/18 00:00;11/11/18 00:00;12/11/18 00:00;13/11/18 00:00;14/11/18 00:00;15/11/18 00:00;16/11/18 00:00;17/11/18 00:00;18/11/18 00:00;19/11/18 00:00;20/11/18 00:00;21/11/18 00:00;22/11/18 00:00;23/11/18 00:00;24/11/18 00:00;25/11/18 00:00;26/11/18 00:00;27/11/18 00:00;28/11/18 00:00;29/11/18 00:00;30/11/18 00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;305,13;;266,18;;1525,53;;188,9;1522,68;2274,14;;297,64;517,38;2570,76;404,88;;503,2;;;2908;;304,84;925,2;;;;436,5;435,76;521,42;;1003,88;;;;895,46;;343;;;2043,9;;;;;;;332,32;;551;;985;;1115,44;;415,1;;;;796,33;1018,7;;1882,92;126,6;;;526,74;596,76;;;205,4;;485,42;891,36;3256,99;;435;;;;1726,42;;1108,41;1078,07;;437,4;;;741,34;532,44;;;718,53;385,7;;607,18;1748,46;;352,86;;407,06;;;;;;;193,06;;2057,32;2903,8;;;719,6;633,6;;;140,96;;;83,31;215,92;731,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,64;;;;96,92;;;;250,69;231,52;;;516;829,06;;985,72;;;445,74;1208,72;390,4;;588,41;;;;;1653,08;592,7;;455,53;588,52;;310,38;;487,8;171,5;110,48;;;;;;;;;5324;409,2;;;194,14;119,22;;;609,52;;;;;;409,4;642,44;157,5;;307,02;;;660,46;1247,26;824,76;267,2;1077,64;1146,88;415,62;816,45;;486,06;;607,88;1313,24;665,36;466,64;;;;828,84;2136,93;809,07;464,07;;1732,16;1530,04;;519,71;3821,71;151,44;;;;994,2;180,66;;;442,42;80,43;;414,94;597;455,18;;;;;198,19;;269,3;476,64;;503,14;1035,92;663,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,02;501,38;257,7;1086,32;402,8;;;963,3;429,08;2170,4;292,56;296,72;;;;218,74;1041,92;;1355,58;;668,58;3343,66;;;;;;2677,66;919,28;990,44;140,14;308,82;1016,32;;1434,1;;499,77;;;191,48;295,57;220,7;;;;;;95,69;;;675,1;;257,5;;;;;;;;;258,08;803,98;;;;1435,34;287,6;1971,68;82,52;;1771,78;189,08;946,16;;894,6;;;;670,65;;444,02;;317,78;102,16;;969,35;2002,63;342,92;;1878,02;;;617,49;258,64;254,7;457;;;354,32;;;187,24;1054,5;;;416,84;;421,52;;104,42;;238,32;779,29;;1300,86;;149,02;218,26;666,92;;512,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,68;460,44;;123,18;;;164,82;;1540,58;;635,92;;537;232,92;;;638,61;218,18;;309,93;784,91;945;;345,95;;;;3846,23;785,07;720,26;277,31;220,76;;;;;;;;;;;;;219,88;;;;119,44;;;;;614,28;1921,6;981,62;204,65;;;;;1098,6;;;;215,4;397,83;557,68;198,1;;427,56;;870;;215,38;950,84;;558,73;;881,36;859,27;;;;703,44;672,61;447,38;;;271,27;;239,51;1467,39;572;583,96;;596,05;216,84;265,83;;;347,72;;160,6;465,07;;209,22;;;;;;;501,92;;451,94;;;373,68;;;988,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,8;412,68;1536,28;;;95,29;362,06;;186,21;;;;485,64;567,18;;608,52;164,74;;;;2831,91;569,62;;;388,64;;;2793,5;221,56;;450,73;727,15;;;;;;;;;;979,35;;;;;;775,94;868,02;;;;;;1889;;;;;;606;229,3;1145,58;;;2931,92;445,68;1013,18;;;221,9;232,4;;652,5;211,58;;381,82;815,66;;;763,62;520,3;;;7264,02;1135,56;910,12;652,02;281,24;;1167,22;;210,09;130,42;;438,12;912,81;712,08;;;;652,5;;426,16;;648,11;451,94;;;626,52;;535,22;;;;;;;;;327,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,54;3361,56;782,68;;;232,54;;20,12;452,68;;;;862,14;;;;137,74;737,96;;;1481,37;;;;;;;;;999,92;;;;;690,04;;343;;;;404,82;;;149,68;;;447,64;2747,98;252,2;;;;;236,97;;;;217,1;;;;1620,3;;256,03;345,95;4028,96;2644,41;671,28;530,34;;1048,96;484,06;528,64;422,42;1502,87;96,06;1970,93;;;;631,4;514,55;;367,9;894,76;481,52;1776,48;2470,47;645,84;572;;509,4;896,42;;1121,93;1705,32;;;;;414,42;357,73;447,84;240,44;;451,94;;;2795,35;699,34;;;;;;347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;322,32;;;484,82;594,76;;;;;;1867,46;;;;;;;;;;396,76;90,55;;559,16;;;556,98;1052,64;;343;;;587,98;;;340,08;;;;;;;;;;;687,34;611,7;300,34;;;;;;;174,66;130,96;;;;;1001,64;;1168,98;937,82;700,88;;;;;2731,78;;803,56;;;455,37;;95,13;419,52;1701,33;2735,88;657,25;124,21;264,64;414,94;;817,31;1446,48;;480,12;572;;;;276,24;;160,92;317,5;311,32;1156,45;;615,47;135,88;;;;;1914,54;135,88;;1128;;149,02;;247,32;853,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;;;537;;186,21;;;;;517,38;573,86;128;;;170,47;404;;;;724,81;452,04;;2970,66;;;1063,72;1235,4;;;171,5;70,32;;;;;331,05;;;700,96;;;80,58;;;;;;756,3;;1066,85;;;;;553,74;284,36;;;192,9;;77,74;;257,5;2829,48;;;567,94;213,5;706,1;;568,9;1084,08;;179,82;;832,42;209,83;1035,68;;;2371,62;221,66;;;;;2000,46;;426,71;;1430,09;1496,62;205,05;876,56;89,29;;356,19;2483,32;;;188,64;;221,82;;;;331,51;1124,07;;208,56;;;;434,32;1735,74;;;;;;140,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,95;303,53;559,74;301,72;;70,8;;1139,81;;;414,94;640,64;527,14;201,3;918,63;;956,5;;;;1966,84;194,4;848,26;;;;1899,7;332,46;;302,52;;;;180,7;188,76;331,05;547,98;1691,38;;;;;;421,06;;;;;;;;;;413,88;;537;;;1885,6;;;613,35;;808,41;2090,1;424,16;447,3;;412;1024,42;802,66;1718,98;534;1926,62;;;1155,76;;445,84;962,9;3961,22;856,68;139,28;;;;1306,9;;;377;;209,31;270,38;1485,9;197,01;;;90,24;;;379,26;;;;104,42;;;110,39;;427,92;;;;;;217,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,92;590,95;1675,68;304,56;1201,84;653,92;2881,59;;540,74;;424,68;;;304,04;190,16;;102,42;226,91;442,14;;;;2327,39;1205,44;;;1054,14;364,78;500,59;;;;;361,88;672,92;905,94;;;;149,68;167,56;914,04;;840,22;;;422;;991,24;218,66;445,75;;;1048,44;;;268,5;147,12;;;;400,02;1347,68;170,58;2307,75;1098,1;;;;1363,88;;1782,02;742,28;1345,11;530,47;2395,76;;102,16;786,78;1555,47;1025,2;2625,45;;208,4;;251,03;;417,32;1093,76;572;139,54;673,76;276,24;;307,14;;;195,1;217,5;;;;161,08;80,54;;;776,76;218,26;2032,56;;;;;139,86;311,48;;212,47;;451,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
