Dates,variable,feature_no,feature_name,value
17/10/17 00:00,2,357,"480,32",
18/10/17 00:00,2,357,"480,32",
19/10/17 00:00,2,357,"480,32",
20/10/17 00:00,2,357,"480,32",
21/10/17 00:00,2,357,"480,32",
22/10/17 00:00,2,357,"480,32",
23/10/17 00:00,2,357,"480,32",
24/10/17 00:00,2,357,"480,32",
25/10/17 00:00,2,357,"480,32",
26/10/17 00:00,2,357,"480,32",
27/10/17 00:00,2,357,"480,32",
28/10/17 00:00,2,357,"480,32",
29/10/17 00:00,2,357,"480,32",
30/10/17 00:00,2,357,"480,32",
31/10/17 00:00,2,357,"480,32",
01/11/17 00:00,2,357,"480,32",
02/11/17 00:00,2,357,"480,32",
03/11/17 00:00,2,357,"480,32",
04/11/17 00:00,2,357,"480,32",
05/11/17 00:00,2,357,"480,32",
06/11/17 00:00,2,357,"480,32",
07/11/17 00:00,2,357,"480,32",
08/11/17 00:00,2,357,"480,32",
09/11/17 00:00,2,357,"480,32",
10/11/17 00:00,2,357,"480,32",
11/11/17 00:00,2,357,"480,32",
12/11/17 00:00,2,357,"480,32",
13/11/17 00:00,2,357,"480,32",
14/11/17 00:00,2,357,"480,32",
15/11/17 00:00,2,357,"480,32",
16/11/17 00:00,2,357,"480,32",
17/11/17 00:00,2,357,"480,32",
18/11/17 00:00,2,357,"480,32",
19/11/17 00:00,2,357,"480,32",
20/11/17 00:00,2,357,"480,32",
21/11/17 00:00,2,357,"480,32",
22/11/17 00:00,2,357,"480,32",
23/11/17 00:00,2,357,"480,32",
24/11/17 00:00,2,357,"480,32",
25/11/17 00:00,2,357,"480,32",
26/11/17 00:00,2,357,"480,32",
27/11/17 00:00,2,357,"480,32",
28/11/17 00:00,2,357,"480,32",
29/11/17 00:00,2,357,"480,32",
30/11/17 00:00,2,357,"480,32",
01/10/18 00:00,2,357,"480,32",
02/10/18 00:00,2,357,"480,32",
03/10/18 00:00,2,357,"480,32",
04/10/18 00:00,2,357,"480,32",
05/10/18 00:00,2,357,"480,32",
06/10/18 00:00,2,357,"480,32",
07/10/18 00:00,2,357,"480,32",
08/10/18 00:00,2,357,"480,32",
09/10/18 00:00,2,357,"480,32",
10/10/18 00:00,2,357,"480,32",
11/10/18 00:00,2,357,"480,32",
12/10/18 00:00,2,357,"480,32",
13/10/18 00:00,2,357,"480,32",
14/10/18 00:00,2,357,"480,32",
15/10/18 00:00,2,357,"480,32",
16/10/18 00:00,2,357,"480,32",
17/10/18 00:00,2,357,"480,32",
18/10/18 00:00,2,357,"480,32",
19/10/18 00:00,2,357,"480,32",
20/10/18 00:00,2,357,"480,32",
21/10/18 00:00,2,357,"480,32",
22/10/18 00:00,2,357,"480,32",
23/10/18 00:00,2,357,"480,32",
24/10/18 00:00,2,357,"480,32",
25/10/18 00:00,2,357,"480,32",
26/10/18 00:00,2,357,"480,32",
27/10/18 00:00,2,357,"480,32",
28/10/18 00:00,2,357,"480,32",
29/10/18 00:00,2,357,"480,32",
30/10/18 00:00,2,357,"480,32",
31/10/18 00:00,2,357,"480,32",
01/11/18 00:00,2,357,"480,32",
02/11/18 00:00,2,357,"480,32",
03/11/18 00:00,2,357,"480,32",
04/11/18 00:00,2,357,"480,32",
05/11/18 00:00,2,357,"480,32",
06/11/18 00:00,2,357,"480,32",
07/11/18 00:00,2,357,"480,32",
08/11/18 00:00,2,357,"480,32",
09/11/18 00:00,2,357,"480,32",
10/11/18 00:00,2,357,"480,32",
11/11/18 00:00,2,357,"480,32",
12/11/18 00:00,2,357,"480,32",
13/11/18 00:00,2,357,"480,32",
14/11/18 00:00,2,357,"480,32",
15/11/18 00:00,2,357,"480,32",
16/11/18 00:00,2,357,"480,32",
17/11/18 00:00,2,357,"480,32",
18/11/18 00:00,2,357,"480,32",
19/11/18 00:00,2,357,"480,32",
20/11/18 00:00,2,357,"480,32",
21/11/18 00:00,2,357,"480,32",
22/11/18 00:00,2,357,"480,32",
23/11/18 00:00,2,357,"480,32",
24/11/18 00:00,2,357,"480,32",
25/11/18 00:00,2,357,"480,32",
26/11/18 00:00,2,357,"480,32",
27/11/18 00:00,2,357,"480,32",
